3.354000e+03,11.458670,29,1.000009e+00,3.736173e-09, -1.006780e-08, 3.104341e-05, -5.535355e-04
3.355003e+03,11.511812,29,1.000009e+00,-1.420191e-07, 2.438940e-07, 3.272482e-05, -3.585093e-04
3.356005e+03,11.550842,29,1.000009e+00,-1.420191e-07, 2.438940e-07, 3.272482e-05, -3.585093e-04
3.357008e+03,11.590824,29,1.000009e+00,-1.420191e-07, 2.438940e-07, 3.272482e-05, -3.585093e-04
3.358011e+03,11.629868,29,1.000009e+00,-1.420191e-07, 2.438940e-07, 3.272482e-05, -3.585093e-04
3.359014e+03,11.670561,29,1.000009e+00,-1.420191e-07, 2.438940e-07, 3.272482e-05, -3.585093e-04
3.360000e+03,11.711217,29,1.000009e+00,-1.420191e-07, 2.438940e-07, 3.272482e-05, -3.585093e-04
3.361003e+03,11.749816,29,1.000009e+00,-1.420191e-07, 2.438940e-07, 3.272482e-05, -3.585093e-04
3.362005e+03,11.799035,29,1.000009e+00,-1.230205e-07, -4.053527e-09, 2.998659e-05, -5.568351e-04
3.363008e+03,11.837739,29,1.000009e+00,-1.230205e-07, -4.053527e-09, 2.998659e-05, -5.568351e-04
