t,starx,stary,starz,starvx,starvy,starvz,star_sx, star_sy, star_sz, a1,i1,e1,s1x,s1y,s1z,mag1,pom1,Om1,f1,p1x,p1y,p1z,p1vx,p1vy,p1vz,a2,i2,e2,s2x,s2y,s2z,mag2,pom2,Om2,f2,p2x,p2y,p2z,p2vx,p2vy,p2vz
440.000000,0.000002,-0.000000,-0.000000,-0.000009,0.000019,-0.000001,0.000000,-0.000000,18.250000,0.173049,0.008726,0.009750,-1.7821365540,0.1540558537,72.9611373333,72.9830617669,0.084467,-1.512154,4.531537,-0.016678,-0.172533,-0.000234,2.390789,-0.207983,0.020720,0.232903,0.007522,0.010361,3.0736620439,1.1286513626,121.6141065130,121.6581775106,0.139789,1.629402,1.975589,-0.121134,0.200007,0.000821,-1.775425,-1.052258,0.013795
480.000000,0.000001,-0.000005,0.000000,0.000053,0.000020,-0.000000,0.000000,-0.000001,18.250000,0.173043,0.008723,0.010105,-1.7190469186,0.4089255980,72.9601272254,72.9815216832,0.065867,-1.649878,2.399590,-0.135965,0.109084,-0.001258,-1.505925,-1.850915,-0.011821,0.232922,0.007519,0.010017,3.2241521610,0.7796556421,121.6121758791,121.6574056197,0.185855,1.491680,1.154136,0.053063,0.225803,-0.000264,-2.020918,0.494440,0.015441
520.000000,-0.000005,-0.000003,-0.000000,0.000028,-0.000061,-0.000000,0.000000,-0.000001,18.250000,0.173058,0.008724,0.010182,-1.6195922029,0.6468603036,72.9591406752,72.9799816061,0.124236,-1.787074,0.190425,0.162904,0.053023,0.001289,-0.746974,2.310163,-0.010690,0.232909,0.007520,0.009953,3.3378932046,0.4085636912,121.6101478964,121.6566337144,0.139473,1.354460,0.445132,0.192472,0.127377,-0.001208,-1.146382,1.748424,0.011242
560.000000,-0.000003,0.000003,0.000000,-0.000039,-0.000023,-0.000000,0.000000,-0.000001,18.250000,0.173041,0.008725,0.009908,-1.4878446582,0.8625134269,72.9581750919,72.9784415008,0.106139,-1.924278,4.369543,-0.040714,-0.168758,0.000176,2.334401,-0.540071,0.020740,0.232911,0.007520,0.010265,3.4114665887,0.0187240466,121.6080188688,121.6558617908,0.175488,1.217223,5.961758,0.228180,-0.033535,-0.001697,0.297601,2.071087,0.003293
600.000000,-0.000000,0.000001,0.000000,-0.000000,0.000006,0.000000,0.000000,-0.000001,18.250000,0.173045,0.008725,0.010326,-1.3284218398,1.0518066732,72.9572280103,72.9769012825,0.098955,-2.062255,2.352474,-0.134400,0.110965,-0.001491,-1.533018,-1.829176,-0.004261,0.232891,0.007521,0.009847,3.4415175320,-0.3860714099,121.6057884722,121.6550898401,0.212860,1.079284,5.227690,0.154219,-0.172969,-0.001637,1.542420,1.399059,-0.005261
640.000000,-0.000003,0.000002,0.000000,-0.000016,-0.000036,0.000000,0.000000,-0.000001,18.250000,0.173040,0.008724,0.010487,-1.1468252772,1.2115786572,72.9562896013,72.9753610710,0.150959,-2.199666,0.275764,0.155927,0.070901,0.000736,-0.998780,2.213365,-0.018404,0.232901,0.007519,0.009695,3.4248295843,-0.8012988035,121.6034601321,121.6543178582,0.176923,0.941907,4.604729,0.016128,-0.232558,-0.001127,2.063672,0.163181,-0.011827
680.000000,0.000002,0.000006,-0.000000,-0.000062,0.000016,0.000000,0.000000,-0.000001,18.250000,0.173041,0.008727,0.010103,-0.9484807542,1.3395181435,72.9553603433,72.9738208361,0.165685,-2.337300,4.544622,-0.000362,-0.173307,0.001047,2.399970,0.019010,0.014972,0.232913,0.007522,0.010087,3.3586675798,-1.2216431368,121.6010368272,121.6535458476,0.182461,0.804258,3.976457,-0.123250,-0.199464,-0.000373,1.758924,-1.068619,-0.015107
720.000000,0.000006,0.000001,0.000000,-0.000001,0.000062,0.000000,0.000000,-0.000001,18.250000,0.173037,0.008727,0.010490,-0.7389755988,1.4347799715,72.9544312654,72.9722804890,0.145585,-2.474290,2.662951,-0.165038,0.057093,-0.001283,-0.789679,-2.246966,0.011138,0.232912,0.007522,0.009660,3.2409991080,-1.6411908262,121.5985188761,121.6527738089,0.235869,0.667247,3.336304,-0.213651,-0.098139,0.000415,0.860211,-1.863470,-0.015015
760.000000,0.000002,-0.000003,-0.000000,0.000033,0.000008,0.000000,0.000000,-0.000001,18.250000,0.173037,0.008725,0.010491,-0.5239429516,1.4971176188,72.9534991470,72.9707401304,0.199923,-2.612160,0.722547,0.103665,0.136830,-0.000574,-1.921253,1.476393,-0.019584,0.232892,0.007521,0.009654,3.0705274960,-2.0535971293,121.5959050679,121.6520017491,0.197430,0.529369,2.816705,-0.233110,0.029868,0.001079,-0.267326,-2.035796,-0.012200
800.000000,0.000001,-0.000000,-0.000000,-0.000010,0.000003,0.000000,0.000000,-0.000001,18.250000,0.173038,0.008725,0.010098,-0.3083130089,1.5274597781,72.9525594161,72.9691997740,0.201642,-2.749434,5.123673,0.099131,-0.140950,0.001467,1.961622,1.406767,-0.004801,0.232881,0.007521,0.010061,2.8467034247,-2.4521499541,121.5931943825,121.6512296687,0.213519,0.392135,2.271306,-0.185617,0.143096,0.001528,-1.269719,-1.620814,-0.007615
