,K,mag,filename,tmax,tinstability,Eerr1,Eerrf,tinstability_index
445,193.43,0.0015737569381218215,IC445K1.9343e+02mag1.5738e-03.bin,5000000.0,5000000.0,3.134117954671451e-07,2.413581800582114e-07,
446,341.05,0.017466904616127276,IC446K3.4105e+02mag1.7467e-02.bin,5000000.0,5000000.0,3.305887039667817e-08,5.50548957248109e-08,
447,42.374,0.01805403683014821,IC447K4.2374e+01mag1.8054e-02.bin,5000000.0,5000000.0,2.5226938719629787e-08,3.534456477247395e-08,
449,131.0,0.040728040631235064,IC449K1.3100e+02mag4.0728e-02.bin,5000000.0,5000000.0,3.657622094192042e-08,6.068629826749013e-08,
450,363.78,0.0788365379464724,IC450K3.6378e+02mag7.8837e-02.bin,5000000.0,5000000.0,2.4012110014198766e-08,4.6431079602115835e-08,
451,351.54,0.0975877687696837,IC451K3.5154e+02mag9.7588e-02.bin,5000000.0,5000000.0,2.0042619356620092e-08,0.00045827763867598497,
452,592.73,0.019069136097749344,IC452K5.9273e+02mag1.9069e-02.bin,5000000.0,5000000.0,7.504872894779225e-08,0.00023006855494366778,
453,630.99,0.0373272212109469,IC453K6.3099e+02mag3.7327e-02.bin,5000000.0,443000.78868432215,7.936206854455113e-08,1.5638787595942198,443.0
454,217.47,0.15771177263708558,IC454K2.1747e+02mag1.5771e-01.bin,5000000.0,5000000.0,1.3539152854720986e-08,1.3454261092716147e-07,
455,66.752,0.011784516950662259,IC455K6.6752e+01mag1.1785e-02.bin,5000000.0,5000000.0,2.5322566733432298e-08,6.7661215620255655e-06,
458,409.2,0.9017225353329734,IC458K4.0920e+02mag9.0172e-01.bin,5000000.0,5000000.0,4.5681483031161513e-07,0.0006950722317251849,
460,565.99,0.17850788113800886,IC460K5.6599e+02mag1.7851e-01.bin,5000000.0,5000000.0,5.03976089513052e-07,0.0002854296078850529,
462,84.346,0.6748026958578499,IC462K8.4346e+01mag6.7480e-01.bin,5000000.0,5000000.0,2.904351244997339e-06,0.0006362917513110751,
463,414.58,0.32863455640963746,IC463K4.1458e+02mag3.2863e-01.bin,5000000.0,5000000.0,1.318196906338449e-06,0.0002759322543152074,
467,320.44,0.5678481690862969,IC467K3.2044e+02mag5.6785e-01.bin,5000000.0,5000000.0,2.7198981503180383e-06,6.223888367682134e-05,
469,241.16,0.0018030197334546992,IC469K2.4116e+02mag1.8030e-03.bin,5000000.0,5000000.0,9.370130062654221e-08,6.781869141343608e-08,
471,148.81,0.009668915950459458,IC471K1.4881e+02mag9.6689e-03.bin,5000000.0,5000000.0,3.805573590831727e-08,0.0002814904515407747,
472,192.61,0.2764792202224255,IC472K1.9261e+02mag2.7648e-01.bin,5000000.0,5000000.0,8.789849352236109e-06,0.0002762987894643711,
473,12.403,0.04770882150725614,IC473K1.2403e+01mag4.7709e-02.bin,5000000.0,5000000.0,2.890941945911811e-07,6.529380404401468e-06,
476,236.05,0.01093139014245948,IC476K2.3605e+02mag1.0931e-02.bin,5000000.0,5000000.0,3.756120342170896e-07,2.6755207137869547e-05,
480,408.05,0.002665917704952598,IC480K4.0805e+02mag2.6659e-03.bin,5000000.0,5000000.0,2.9488420573640178e-09,2.431997705481747e-08,
482,539.72,0.7402914047500241,IC482K5.3972e+02mag7.4029e-01.bin,5000000.0,5000000.0,2.6273941629205828e-06,0.0003400600898564856,
485,506.41,0.003283655162393013,IC485K5.0641e+02mag3.2837e-03.bin,5000000.0,5000000.0,3.3195876093581377e-07,2.70430439830249e-07,
486,128.7,0.0010446204518076354,IC486K1.2870e+02mag1.0446e-03.bin,5000000.0,5000000.0,5.092319815457082e-08,5.980674777556927e-09,
488,85.227,0.04053268920743446,IC488K8.5227e+01mag4.0533e-02.bin,5000000.0,5000000.0,6.93747599838058e-08,0.00041874376062600935,
490,162.64,0.002775410840768743,IC490K1.6264e+02mag2.7754e-03.bin,5000000.0,5000000.0,1.0249303656394324e-07,1.320459070150042e-07,
492,80.387,0.08756499895171667,IC492K8.0387e+01mag8.7565e-02.bin,5000000.0,5000000.0,1.1845120621653399e-07,9.487362637717652e-08,
493,705.64,0.7255996308831006,IC493K7.0564e+02mag7.2560e-01.bin,5000000.0,5000000.0,2.908502817109051e-06,2.56424445909216e-06,
